epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2314.66,1.20337,0.66374,1.07794,0.94325,0.57772,0.62718,0.4113,1.22888,0.63506,1.12763,0.000848969,0.000848969,0.000848969
43,2368.99,1.20388,0.66855,1.07832,0.94748,0.57862,0.62902,0.40994,1.23657,0.63893,1.12584,0.000834822,0.000834822,0.000834822
44,2423.72,1.19875,0.6641,1.07609,0.93949,0.58484,0.62885,0.40988,1.23335,0.64047,1.12588,0.000820675,0.000820675,0.000820675
45,2479.02,1.1906,0.65218,1.0732,0.94459,0.58013,0.62988,0.41043,1.23355,0.63444,1.12689,0.000806528,0.000806528,0.000806528
46,2533.93,1.1966,0.65526,1.07364,0.9407,0.59271,0.63225,0.41432,1.22746,0.63444,1.1242,0.00079238,0.00079238,0.00079238
47,2588.75,1.18623,0.65042,1.07351,0.94744,0.58528,0.62893,0.40929,1.23837,0.64055,1.12827,0.000778233,0.000778233,0.000778233
48,2643.46,1.18843,0.65242,1.06629,0.94995,0.58099,0.63066,0.4124,1.22592,0.62931,1.12234,0.000764086,0.000764086,0.000764086
49,2697.73,1.18262,0.64511,1.06156,0.95214,0.57155,0.62903,0.41078,1.23497,0.63014,1.12356,0.000749939,0.000749939,0.000749939
50,2753,1.17939,0.64099,1.06167,0.94183,0.5844,0.62724,0.40928,1.2246,0.63502,1.11968,0.000735792,0.000735792,0.000735792
51,2807.84,1.1749,0.64418,1.06438,0.94531,0.58657,0.63007,0.41086,1.23229,0.62658,1.12223,0.000721645,0.000721645,0.000721645
52,2862.37,1.17892,0.63556,1.05661,0.60021,0.59272,0.63079,0.40973,1.24052,0.63448,1.12526,0.000707498,0.000707498,0.000707498
53,2916.79,1.16269,0.63192,1.05981,0.95245,0.57825,0.62794,0.41348,1.22369,0.62804,1.12116,0.000693351,0.000693351,0.000693351
54,2971.54,1.17653,0.62795,1.05515,0.94664,0.59191,0.62751,0.41129,1.22959,0.63157,1.12013,0.000679204,0.000679204,0.000679204
55,3027.74,1.17166,0.62767,1.05924,0.61929,0.58639,0.63123,0.41405,1.23305,0.62396,1.12384,0.000665057,0.000665057,0.000665057
56,3083.28,1.16092,0.62515,1.05354,0.9477,0.59037,0.63059,0.41326,1.23234,0.62841,1.11985,0.000650909,0.000650909,0.000650909
57,3137.2,1.17208,0.62548,1.0593,0.95482,0.58224,0.62736,0.41218,1.22765,0.62778,1.11685,0.000636762,0.000636762,0.000636762
58,3192.58,1.15837,0.61704,1.05833,0.61453,0.5864,0.62813,0.41371,1.22275,0.62429,1.11769,0.000622615,0.000622615,0.000622615
59,3247.48,1.16348,0.61548,1.0544,0.95098,0.57709,0.62931,0.41156,1.2279,0.62026,1.11913,0.000608468,0.000608468,0.000608468
60,3302.41,1.15104,0.61453,1.0515,0.61042,0.58954,0.62808,0.4134,1.21792,0.62304,1.11531,0.000594321,0.000594321,0.000594321
61,3356.01,1.14899,0.61067,1.04985,0.96089,0.57424,0.63066,0.41496,1.2233,0.61749,1.11845,0.000580174,0.000580174,0.000580174
62,3410.76,1.1445,0.60842,1.05021,0.6172,0.58874,0.63011,0.4157,1.2182,0.62074,1.11769,0.000566027,0.000566027,0.000566027
63,3465.31,1.13699,0.60353,1.04371,0.61015,0.59323,0.6308,0.41496,1.21937,0.61614,1.11515,0.00055188,0.00055188,0.00055188
64,3519.91,1.14594,0.59884,1.04374,0.61787,0.58471,0.62924,0.41331,1.23036,0.62732,1.12262,0.000537733,0.000537733,0.000537733
65,3574.77,1.14114,0.59951,1.05036,0.61747,0.58332,0.63293,0.4134,1.22206,0.61537,1.11702,0.000523586,0.000523586,0.000523586
66,3629.44,1.13969,0.59913,1.05027,0.73018,0.58858,0.63153,0.41484,1.21836,0.61478,1.11472,0.000509438,0.000509438,0.000509438
67,3683.9,1.13618,0.58782,1.04263,0.61314,0.58713,0.6289,0.41348,1.22151,0.63002,1.1175,0.000495291,0.000495291,0.000495291
68,3738.49,1.12786,0.59031,1.04572,0.61439,0.60336,0.63049,0.41189,1.22748,0.62339,1.12067,0.000481144,0.000481144,0.000481144
69,3793.33,1.12252,0.58383,1.03832,0.63875,0.59855,0.63153,0.41444,1.22137,0.61154,1.12016,0.000466997,0.000466997,0.000466997
70,3847.31,1.12696,0.58329,1.03851,0.62783,0.59771,0.62951,0.41555,1.22149,0.6253,1.12075,0.00045285,0.00045285,0.00045285
71,3901.87,1.1182,0.58274,1.03432,0.61273,0.59405,0.63055,0.41774,1.21688,0.62118,1.11812,0.000438703,0.000438703,0.000438703
72,3955.51,1.11331,0.5786,1.03705,0.62454,0.58588,0.62822,0.41368,1.21766,0.62305,1.11888,0.000424556,0.000424556,0.000424556
73,4009.64,1.11613,0.57869,1.03839,0.62134,0.58992,0.62982,0.41369,1.21906,0.62223,1.11857,0.000410409,0.000410409,0.000410409
74,4064.57,1.12294,0.5817,1.03488,0.62171,0.5865,0.62767,0.41413,1.21821,0.62945,1.11788,0.000396262,0.000396262,0.000396262
